GeneSymbol_Mouse,GeneSymbol_Human,Source,Daneman_Filter,HumanEnsembl,MouseEnsembl,MacaqueEnsembl
Gas6,GAS6,Daneman,liver_only,ENSG00000183087,ENSMUSG00000031451,ENSMMUG00000007428
Gata2,GATA2,Daneman,liver_only,ENSG00000179348,ENSMUSG00000015053,ENSMMUG00000021371
Gbe1,GBE1,Munji,NA,ENSG00000114480,ENSMUSG00000022707,ENSMMUG00000015877
Gbp2,GBP2,Daneman,liver_only,ENSG00000162645,ENSMUSG00000028270,NA
Gbp2,GBP2,Daneman,liver_only,ENSG00000162645,ENSMUSG00000040264,NA
Gbp4,GBP6,Daneman,liver_only,ENSG00000183347,ENSMUSG00000092021,ENSMMUG00000020157
Gbp4,GBP6,Daneman,liver_only,ENSG00000183347,ENSMUSG00000034438,ENSMMUG00000020157
Gbp4,GBP6,Daneman,liver_only,ENSG00000183347,ENSMUSG00000029298,ENSMMUG00000020157
Gbp4,GBP6,Daneman,liver_only,ENSG00000183347,ENSMUSG00000105096,ENSMMUG00000020157
Gbp4,GBP6,Daneman,liver_only,ENSG00000183347,ENSMUSG00000079363,ENSMMUG00000020157
Gbp4,GBP6,Daneman,liver_only,ENSG00000183347,ENSMUSG00000104713,ENSMMUG00000020157
Gch1,GCH1,Daneman,liver_only,ENSG00000131979,ENSMUSG00000037580,ENSMMUG00000004084
Gcnt2,GCNT2,Daneman,liver_only,ENSG00000285222,NA,NA
Gcnt2,GCNT2,Daneman,liver_only,ENSG00000111846,NA,ENSMMUG00000020132
Gdi2,GDI2,Daneman,lung_only,ENSG00000057608,ENSMUSG00000021218,ENSMMUG00000013182
Gdpd1,GDPD1,Daneman,lung_only,ENSG00000153982,ENSMUSG00000061666,ENSMMUG00000042757
Gdpd3,GDPD3,Daneman,liver_only,ENSG00000102886,ENSMUSG00000030703,ENSMMUG00000029164
Gdpd5,GDPD5,Daneman,lung_only,ENSG00000158555,ENSMUSG00000035314,ENSMMUG00000009022
Gem,GEM,Daneman,lung_only,ENSG00000164949,ENSMUSG00000028214,ENSMMUG00000062934
Gga2,GGA2,Daneman,lung_only,ENSG00000103365,ENSMUSG00000030872,ENSMMUG00000020521
Gimap4,GIMAP4,Daneman,lung_only,ENSG00000133574,ENSMUSG00000054435,ENSMMUG00000011386
Gimap8,GIMAP8,Daneman,liver_only,ENSG00000171115,ENSMUSG00000064262,ENSMMUG00000022636
Gja1,GJA1,Daneman,lung_only,ENSG00000152661,ENSMUSG00000050953,ENSMMUG00000005225
Gjb2,GJB2,Munji,NA,ENSG00000165474,ENSMUSG00000046352,ENSMMUG00000010522
Glb1,GLB1,Both,lung_only,ENSG00000170266,ENSMUSG00000045594,ENSMMUG00000020109
Glcci1,GLCCI1,Both,liver_only,ENSG00000106415,ENSMUSG00000029638,ENSMMUG00000045449
Glrx2,GLRX2,Daneman,lung_only,ENSG00000023572,NA,ENSMMUG00000022645
Gls,GLS,Daneman,liver_only,ENSG00000115419,ENSMUSG00000026103,ENSMMUG00000005612
Glt8d1,GLT8D1,Daneman,liver_only,ENSG00000016864,ENSMUSG00000021916,ENSMMUG00000012526
Gltscr2,GLTSCR2,Daneman,lung_only,NA,NA,NA
Glul,GLUL,Munji,NA,ENSG00000135821,ENSMUSG00000026473,ENSMMUG00000022884
Gmfg,GMFG,Daneman,lung_only,ENSG00000291873,NA,NA
Gmfg,GMFG,Daneman,lung_only,ENSG00000130755,ENSMUSG00000060791,ENSMMUG00000013746
Gmpr,GMPR,Daneman,lung_only,ENSG00000137198,ENSMUSG00000000253,ENSMMUG00000002936
Gmps,GMPS,Daneman,lung_only,ENSG00000163655,ENSMUSG00000027823,ENSMMUG00000007324
Gna12,GNA12,Daneman,lung_only,ENSG00000146535,ENSMUSG00000000149,ENSMMUG00000006460
Gna13,GNA13,Daneman,lung_only,ENSG00000120063,ENSMUSG00000020611,ENSMMUG00000016371
Gnai1,GNAI1,Daneman,lung_only,ENSG00000127955,ENSMUSG00000057614,ENSMMUG00000023470
Gnb1,GNB1,Daneman,liver_and_lung,ENSG00000078369,ENSMUSG00000029064,ENSMMUG00000001896
Gng12,GNG12,Daneman,lung_only,ENSG00000172380,ENSMUSG00000036402,NA
Gng7,GNG7,Munji,NA,ENSG00000176533,ENSMUSG00000048240,ENSMMUG00000065054
Golga4,GOLGA4,Daneman,liver_only,ENSG00000144674,ENSMUSG00000038708,ENSMMUG00000021918
Gorasp2,GORASP2,Daneman,lung_only,ENSG00000115806,ENSMUSG00000014959,ENSMMUG00000015203
Gpam,GPAM,Daneman,lung_only,ENSG00000119927,ENSMUSG00000024978,ENSMMUG00000007526
Gpcpd1,GPCPD1,Munji,NA,ENSG00000125772,ENSMUSG00000027346,ENSMMUG00000001809
Gpd2,GPD2,Both,liver_only,ENSG00000115159,ENSMUSG00000026827,ENSMMUG00000004897
Gpi1,GPI,Daneman,lung_only,ENSG00000282019,NA,NA
Gpi1,GPI,Daneman,lung_only,ENSG00000105220,ENSMUSG00000036427,ENSMMUG00000005880
Gpm6b,GPM6B,Daneman,lung_only,ENSG00000046653,ENSMUSG00000031342,ENSMMUG00000019415
Gpr146,GPR146,Daneman,liver_only,ENSG00000164849,ENSMUSG00000044197,ENSMMUG00000007208
Gpr155,GPR155,Daneman,liver_only,ENSG00000163328,ENSMUSG00000041762,ENSMMUG00000021012
Gpr160,GPR160,Both,liver_only,ENSG00000173890,ENSMUSG00000037661,ENSMMUG00000022196
Gpr4,GPR4,Munji,NA,ENSG00000177464,ENSMUSG00000044317,ENSMMUG00000019031
Gpr56,GPR56,Daneman,liver_only,NA,NA,NA
Gpr85,GPR85,Munji,NA,ENSG00000164604,ENSMUSG00000048216,ENSMMUG00000015548
Gpr97,GPR97,Daneman,lung_only,NA,NA,NA
Gprasp1,GPRASP1,Daneman,liver_only,ENSG00000198932,ENSMUSG00000043384,ENSMMUG00000046251
Grasp,GRASP,Daneman,liver_only,NA,NA,NA
Grb14,GRB14,Daneman,liver_only,ENSG00000115290,ENSMUSG00000026888,ENSMMUG00000015292
Grb7,GRB7,Munji,NA,ENSG00000141738,ENSMUSG00000019312,ENSMMUG00000020775
Grm3,GRM3,Daneman,liver_and_lung,ENSG00000198822,ENSMUSG00000003974,ENSMMUG00000022513
Grp,GRP,Daneman,lung_only,ENSG00000134443,ENSMUSG00000024517,ENSMMUG00000007584
Grtp1,GRTP1,Daneman,liver_and_lung,ENSG00000139835,ENSMUSG00000038515,ENSMMUG00000009791
Gse1,GSE1,Munji,NA,ENSG00000131149,ENSMUSG00000031822,ENSMMUG00000020592
Gsr,GSR,Daneman,liver_and_lung,ENSG00000104687,ENSMUSG00000031584,ENSMMUG00000039030
Gstm7,GSTM2,Munji,NA,ENSG00000213366,ENSMUSG00000004035,ENSMMUG00000020851
Gstm5,GSTM3,Daneman,lung_only,ENSG00000134202,ENSMUSG00000004032,ENSMMUG00000008029
Gstm1,GSTM5,Daneman,liver_only,ENSG00000134201,NA,NA
Gsto1,GSTO1,Daneman,lung_only,ENSG00000148834,ENSMUSG00000025068,ENSMMUG00000032415
Gsto1,GSTO1,Daneman,lung_only,ENSG00000148834,ENSMUSG00000025068,ENSMMUG00000015334
Gtf2e2,GTF2E2,Daneman,lung_only,ENSG00000197265,ENSMUSG00000031585,ENSMMUG00000000459
Gtf2h5,GTF2H5,Daneman,lung_only,ENSG00000272047,ENSMUSG00000034345,ENSMMUG00000049294
Gucy1a3,GUCY1A3,Daneman,liver_and_lung,NA,NA,NA
Gucy1b3,GUCY1B3,Daneman,liver_and_lung,NA,NA,NA
Gusb,GUSB,Daneman,lung_only,ENSG00000169919,ENSMUSG00000025534,ENSMMUG00000021236
Gusb,GUSB,Daneman,lung_only,ENSG00000169919,ENSMUSG00000025534,ENSMMUG00000049089
H2afv,H2AFV,Daneman,liver_only,NA,NA,NA
H2afx,H2AFX,Daneman,lung_only,NA,NA,NA
H2afz,H2AFZ,Daneman,lung_only,NA,NA,NA
H3f3b,H3F3A,Daneman,liver_only,NA,NA,NA
H3f3b,H3F3B,Daneman,liver_only,NA,NA,NA
Hadhb,HADHB,Daneman,lung_only,ENSG00000138029,ENSMUSG00000059447,NA
Hba-a1,HBA1,Munji,NA,ENSG00000206172,ENSMUSG00000069919,ENSMMUG00000029310
Hba-a1,HBA1,Munji,NA,ENSG00000206172,ENSMUSG00000069919,ENSMMUG00000019566
Hba-a1,HBA1,Munji,NA,ENSG00000206172,ENSMUSG00000069917,ENSMMUG00000029310
Hba-a1,HBA1,Munji,NA,ENSG00000206172,ENSMUSG00000069917,ENSMMUG00000019566
Hba-a1,HBA2,Munji,NA,ENSG00000188536,ENSMUSG00000069919,ENSMMUG00000029310
Hba-a1,HBA2,Munji,NA,ENSG00000188536,ENSMUSG00000069919,ENSMMUG00000019566
Hba-a1,HBA2,Munji,NA,ENSG00000188536,ENSMUSG00000069917,ENSMMUG00000029310
Hba-a1,HBA2,Munji,NA,ENSG00000188536,ENSMUSG00000069917,ENSMMUG00000019566
Hcn2,HCN2,Munji,NA,ENSG00000099822,ENSMUSG00000020331,ENSMMUG00000012768
Hdgfrp3,HDGFRP3,Daneman,liver_only,NA,NA,NA
Hdlbp,HDLBP,Daneman,lung_only,ENSG00000115677,ENSMUSG00000034088,ENSMMUG00000004730
Heca,HECA,Daneman,liver_only,ENSG00000112406,ENSMUSG00000039879,ENSMMUG00000005682
Hells,HELLS,Munji,NA,ENSG00000119969,ENSMUSG00000025001,ENSMMUG00000017255
Heph,HEPH,Daneman,lung_only,ENSG00000089472,ENSMUSG00000031209,ENSMMUG00000002805
Hexim1,HEXIM1,Daneman,liver_only,ENSG00000186834,ENSMUSG00000048878,ENSMMUG00000062972
Hiat1,HIAT1,Munji,NA,NA,NA,NA
Higd1a,HIGD1A,Daneman,liver_only,ENSG00000181061,ENSMUSG00000038412,NA
Higd1b,HIGD1B,Daneman,liver_and_lung,ENSG00000131097,ENSMUSG00000020928,ENSMMUG00000054498
Hinfp,HINFP,Munji,NA,ENSG00000172273,ENSMUSG00000032119,ENSMMUG00000014877
Hip1r,HIP1R,Daneman,liver_only,ENSG00000130787,ENSMUSG00000000915,ENSMMUG00000015221
Hist1h1c,HIST1H1C,Daneman,liver_only,NA,NA,NA
Hist1h2bc,HIST1H2BI,Daneman,liver_only,NA,NA,NA
Hist2h2be,HIST1H2BJ,Both,liver_only,NA,NA,NA
H2-T23,HLA-E,Daneman,liver_only,ENSG00000230254,NA,NA
H2-T23,HLA-E,Daneman,liver_only,ENSG00000229252,NA,NA
H2-T23,HLA-E,Daneman,liver_only,ENSG00000233904,NA,NA
H2-T23,HLA-E,Daneman,liver_only,ENSG00000225201,NA,NA
H2-T23,HLA-E,Daneman,liver_only,ENSG00000236632,NA,NA
H2-T23,HLA-E,Daneman,liver_only,ENSG00000206493,NA,NA
H2-T23,HLA-E,Daneman,liver_only,ENSG00000204592,NA,ENSMMUG00000055242
Hlf,HLF,Daneman,liver_only,ENSG00000108924,ENSMUSG00000003949,ENSMMUG00000022627
Hmgcs2,HMGCS2,Munji,NA,ENSG00000134240,ENSMUSG00000027875,ENSMMUG00000023097
Hn1,HN1,Daneman,lung_only,NA,NA,NA
Hs1bp3,HS1BP3,Daneman,liver_only,ENSG00000118960,ENSMUSG00000020605,ENSMMUG00000022996
Hs3st1,HS3ST1,Daneman,liver_only,ENSG00000002587,ENSMUSG00000051022,ENSMMUG00000001341
Hsbp1,HSBP1,Daneman,lung_only,ENSG00000230989,ENSMUSG00000031839,ENSMMUG00000020115
Hspa1a,HSPA1A,Daneman,liver_only,ENSG00000235941,NA,NA
Hspa1a,HSPA1A,Daneman,liver_only,ENSG00000234475,NA,NA
Hspa1a,HSPA1A,Daneman,liver_only,ENSG00000237724,NA,NA
Hspa1a,HSPA1A,Daneman,liver_only,ENSG00000204389,ENSMUSG00000091971,ENSMMUG00000041076
Hspa1a,HSPA1A,Daneman,liver_only,ENSG00000204389,ENSMUSG00000090877,ENSMMUG00000041076
Hspa1a,HSPA1A,Daneman,liver_only,ENSG00000215328,NA,NA
Hspa1a,HSPA1B,Daneman,liver_only,ENSG00000232804,NA,NA
Hspa1a,HSPA1B,Daneman,liver_only,ENSG00000231555,NA,NA
Hspa1a,HSPA1B,Daneman,liver_only,ENSG00000224501,NA,NA
Hspa1a,HSPA1B,Daneman,liver_only,ENSG00000204388,ENSMUSG00000091971,ENSMMUG00000041076
Hspa1a,HSPA1B,Daneman,liver_only,ENSG00000204388,ENSMUSG00000090877,ENSMMUG00000041076
Hspa1a,HSPA1B,Daneman,liver_only,ENSG00000212866,NA,NA
Hspb1,HSPB1,Daneman,liver_only,ENSG00000106211,ENSMUSG00000004951,ENSMMUG00000056744
Hspb8,HSPB8,Daneman,liver_only,ENSG00000152137,ENSMUSG00000041548,ENSMMUG00000021232
Htatip2,HTATIP2,Daneman,liver_only,ENSG00000109854,ENSMUSG00000039745,NA
Htra3,HTRA3,Both,lung_only,ENSG00000170801,ENSMUSG00000029096,ENSMMUG00000022672
Id1,ID1,Daneman,liver_only,ENSG00000125968,ENSMUSG00000042745,ENSMMUG00000004403
Id2,ID2,Daneman,liver_only,ENSG00000115738,ENSMUSG00000020644,ENSMMUG00000003237
Id3,ID3,Daneman,liver_only,ENSG00000283060,NA,NA
Id3,ID3,Daneman,liver_only,ENSG00000117318,ENSMUSG00000007872,ENSMMUG00000043586
Ier5,IER5,Daneman,liver_and_lung,ENSG00000162783,ENSMUSG00000056708,ENSMMUG00000031286
Ifi30,IFI30,Daneman,liver_and_lung,ENSG00000216490,ENSMUSG00000031838,ENSMMUG00000051543
Ifi35,IFI35,Daneman,liver_only,ENSG00000068079,ENSMUSG00000010358,ENSMMUG00000015999
Ifih1,IFIH1,Daneman,liver_only,ENSG00000115267,ENSMUSG00000026896,NA
Ifit1,IFIT1B,Daneman,liver_only,ENSG00000204010,ENSMUSG00000034459,NA
Ifit1,IFIT1B,Daneman,liver_only,ENSG00000204010,ENSMUSG00000067297,NA
Ifit1,IFIT1B,Daneman,liver_only,ENSG00000204010,ENSMUSG00000079339,NA
Ifit3,IFIT3,Daneman,liver_only,ENSG00000119917,ENSMUSG00000074896,ENSMMUG00000005001
Ifit3,IFIT3,Daneman,liver_only,ENSG00000119917,ENSMUSG00000062488,ENSMMUG00000005001
Ifnar1,IFNAR1,Munji,NA,ENSG00000142166,ENSMUSG00000022967,ENSMMUG00000003961
Ift81,IFT81,Munji,NA,ENSG00000122970,ENSMUSG00000029469,ENSMMUG00000023032
Igf1r,IGF1R,Both,liver_and_lung,ENSG00000140443,ENSMUSG00000005533,ENSMMUG00000012305
Igf2,IGF2,Daneman,liver_and_lung,ENSG00000167244,ENSMUSG00000048583,ENSMMUG00000047449
Igfbp2,IGFBP2,Daneman,lung_only,ENSG00000115457,ENSMUSG00000039323,ENSMMUG00000054183
Igfbp4,IGFBP4,Daneman,lung_only,ENSG00000141753,ENSMUSG00000017493,ENSMMUG00000009384
Igsf5,IGSF5,Munji,NA,ENSG00000183067,NA,ENSMMUG00000003427
Il10rb,IL10RB,Daneman,liver_only,ENSG00000243646,ENSMUSG00000022969,NA
Il13ra1,IL13RA1,Daneman,liver_and_lung,ENSG00000131724,ENSMUSG00000017057,ENSMMUG00000053844
Il17rd,IL17RD,Munji,NA,ENSG00000144730,ENSMUSG00000040717,ENSMMUG00000016602
Il18,IL18,Daneman,liver_only,ENSG00000150782,ENSMUSG00000039217,ENSMMUG00000064111
Il27ra,IL27RA,Daneman,lung_only,ENSG00000288185,NA,NA
Il27ra,IL27RA,Daneman,lung_only,ENSG00000104998,ENSMUSG00000005465,ENSMMUG00000013538
Il2rg,IL2RG,Daneman,lung_only,ENSG00000147168,ENSMUSG00000031304,ENSMMUG00000017795
Il6ra,IL6R,Munji,NA,ENSG00000160712,ENSMUSG00000027947,ENSMMUG00000022978
Ildr2,ILDR2,Munji,NA,ENSG00000143195,ENSMUSG00000040612,ENSMMUG00000023462
Impact,IMPACT,Daneman,liver_only,ENSG00000154059,ENSMUSG00000024423,ENSMMUG00000044883
Impact,IMPACT,Daneman,liver_only,ENSG00000154059,ENSMUSG00000024423,ENSMMUG00000004664
Impad1,IMPAD1,Daneman,lung_only,NA,NA,NA
Impdh2,IMPDH2,Daneman,lung_only,ENSG00000178035,ENSMUSG00000062867,ENSMMUG00000005656
Incenp,INCENP,Daneman,lung_only,ENSG00000149503,ENSMUSG00000024660,ENSMMUG00000004420
Ing5,ING5,Daneman,liver_only,ENSG00000168395,ENSMUSG00000026283,ENSMMUG00000014102
Inhbb,INHBB,Daneman,lung_only,ENSG00000163083,ENSMUSG00000037035,ENSMMUG00000060196
Inpp5f,INPP5F,Both,liver_only,ENSG00000198825,ENSMUSG00000042105,ENSMMUG00000009558
Insig2,INSIG2,Daneman,liver_only,ENSG00000125629,ENSMUSG00000003721,ENSMMUG00000006354
Insr,INSR,Munji,NA,ENSG00000171105,ENSMUSG00000005534,ENSMMUG00000028907
Ints9,INTS9,Munji,NA,ENSG00000104299,ENSMUSG00000021975,ENSMMUG00000019723
Ipo9,IPO9,Daneman,lung_only,ENSG00000198700,ENSMUSG00000041879,ENSMMUG00000001916
Iqgap2,IQGAP2,Daneman,lung_only,ENSG00000145703,ENSMUSG00000021676,ENSMMUG00000022982
Irf7,IRF7,Daneman,liver_only,ENSG00000276561,NA,NA
Irf7,IRF7,Daneman,liver_only,ENSG00000185507,ENSMUSG00000025498,ENSMMUG00000004014
Irs1,IRS1,Daneman,liver_and_lung,ENSG00000169047,ENSMUSG00000055980,ENSMMUG00000019467
Ism1,ISM1,Munji,NA,ENSG00000101230,ENSMUSG00000074766,ENSMMUG00000015939
Isyna1,ISYNA1,Munji,NA,ENSG00000105655,ENSMUSG00000019139,ENSMMUG00000021183
Itga4,ITGA4,Munji,NA,ENSG00000115232,ENSMUSG00000027009,ENSMMUG00000000300
Itga6,ITGA6,Both,liver_only,ENSG00000091409,ENSMUSG00000027111,ENSMMUG00000002370
Itga8,ITGA8,Daneman,liver_and_lung,ENSG00000077943,ENSMUSG00000026768,ENSMMUG00000011661
Itgb1,ITGB1,Daneman,lung_only,ENSG00000150093,ENSMUSG00000025809,ENSMMUG00000017767
Itgb5,ITGB5,Daneman,liver_and_lung,ENSG00000082781,ENSMUSG00000022817,ENSMMUG00000014516
Itih5,ITIH5,Both,liver_only,ENSG00000123243,ENSMUSG00000025780,ENSMMUG00000015850
Itm2a,ITM2A,Munji,NA,ENSG00000078596,ENSMUSG00000031239,ENSMMUG00000003564
Itpr3,ITPR3,Daneman,liver_only,ENSG00000096433,ENSMUSG00000042644,ENSMMUG00000047729
Itsn1,ITSN1,Daneman,liver_only,ENSG00000205726,ENSMUSG00000022957,ENSMMUG00000007626
Ivns1abp,IVNS1ABP,Daneman,liver_only,ENSG00000116679,ENSMUSG00000023150,ENSMMUG00000013884
Jam2,JAM2,Daneman,liver_only,ENSG00000154721,ENSMUSG00000053062,ENSMMUG00000008723
Jam3,JAM3,Daneman,liver_and_lung,ENSG00000166086,ENSMUSG00000031990,ENSMMUG00000007100
Jmy,JMY,Munji,NA,ENSG00000152409,ENSMUSG00000021690,ENSMMUG00000046325
Jun,JUN,Daneman,liver_only,ENSG00000177606,ENSMUSG00000052684,ENSMMUG00000059326
Junb,JUNB,Munji,NA,ENSG00000171223,ENSMUSG00000052837,ENSMMUG00000005688
Jund,JUND,Munji,NA,ENSG00000130522,ENSMUSG00000071076,ENSMMUG00000038371
Kbtbd11,KBTBD11,Munji,NA,ENSG00000273645,NA,NA
Kbtbd11,KBTBD11,Munji,NA,ENSG00000176595,ENSMUSG00000055675,NA
Kbtbd7,KBTBD7,Daneman,liver_only,ENSG00000120696,ENSMUSG00000043881,ENSMMUG00000004799
Kcnd3,KCND3,Munji,NA,ENSG00000171385,ENSMUSG00000040896,ENSMMUG00000050825
Kcne4,KCNE4,Daneman,liver_and_lung,ENSG00000152049,ENSMUSG00000047330,ENSMMUG00000001102
Kcnj2,KCNJ2,Munji,NA,ENSG00000123700,ENSMUSG00000041695,ENSMMUG00000056768
Kcnj8,KCNJ8,Daneman,liver_and_lung,ENSG00000121361,ENSMUSG00000030247,ENSMMUG00000056014
Kcnk6,KCNK6,Daneman,liver_only,ENSG00000099337,ENSMUSG00000046410,ENSMMUG00000062296
Kcnq1,KCNQ1,Daneman,lung_only,ENSG00000282076,NA,NA
Kcnq1,KCNQ1,Daneman,lung_only,ENSG00000053918,ENSMUSG00000009545,ENSMMUG00000007742
Kcp,KCP,Munji,NA,ENSG00000135253,ENSMUSG00000059022,ENSMMUG00000006306
Kctd12,KCTD12,Daneman,liver_only,ENSG00000178695,ENSMUSG00000098557,ENSMMUG00000060210
Kctd17,KCTD17,Daneman,lung_only,ENSG00000100379,ENSMUSG00000033287,ENSMMUG00000000149
Kdelr2,KDELR2,Daneman,lung_only,ENSG00000136240,ENSMUSG00000079111,ENSMMUG00000030415
Kdm5b,KDM5B,Munji,NA,ENSG00000117139,ENSMUSG00000042207,ENSMMUG00000015233
4930523C07Rik,KIAA0040,Daneman,liver_only,ENSG00000235750,ENSMUSG00000090394,ENSMMUG00000000546
2810417H13Rik,KIAA0101,Daneman,lung_only,NA,NA,NA
4933426M11Rik,KIAA0247,Daneman,liver_only,NA,NA,NA
2810403A07Rik,KIAA0907,Daneman,liver_only,NA,NA,NA
D930015E06Rik,KIAA0922,Daneman,lung_only,NA,NA,NA
9430020K01Rik,KIAA1462,Both,liver_only,NA,NA,NA
2810474O19Rik,KIAA1551,Daneman,liver_only,NA,NA,NA
Kif16b,KIF16B,Daneman,liver_only,ENSG00000089177,NA,NA
Kif1c,KIF1C,Munji,NA,ENSG00000129250,ENSMUSG00000020821,ENSMMUG00000011341
Kif23,KIF23,Munji,NA,ENSG00000137807,ENSMUSG00000032254,ENSMMUG00000014887
Kif26a,KIF26A,Munji,NA,ENSG00000066735,ENSMUSG00000021294,ENSMMUG00000009477
Kif3b,KIF3B,Munji,NA,ENSG00000101350,ENSMUSG00000027475,ENSMMUG00000012897
Kifc3,KIFC3,Daneman,liver_only,ENSG00000140859,ENSMUSG00000031788,ENSMMUG00000015696
Kit,KIT,Daneman,lung_only,ENSG00000157404,ENSMUSG00000005672,ENSMMUG00000060342
Kitl,KITLG,Daneman,liver_only,ENSG00000049130,ENSMUSG00000019966,ENSMMUG00000051340
Klf11,KLF11,Munji,NA,ENSG00000172059,ENSMUSG00000020653,ENSMMUG00000002054
Klf12,KLF12,Both,liver_only,ENSG00000118922,ENSMUSG00000072294,ENSMMUG00000019097
Klf13,KLF13,Munji,NA,ENSG00000275746,NA,NA
Klf13,KLF13,Munji,NA,ENSG00000169926,ENSMUSG00000052040,ENSMMUG00000049198
Klf4,KLF4,Daneman,liver_only,ENSG00000136826,ENSMUSG00000003032,ENSMMUG00000006088
Klf7,KLF7,Daneman,liver_only,ENSG00000118263,ENSMUSG00000025959,ENSMMUG00000000190
Klf9,KLF9,Daneman,liver_only,ENSG00000119138,ENSMUSG00000033863,ENSMMUG00000063718
Klhdc3,KLHDC3,Daneman,lung_only,ENSG00000124702,ENSMUSG00000063576,ENSMMUG00000000766
Klhl2,KLHL2,Daneman,liver_only,ENSG00000109466,ENSMUSG00000031605,ENSMMUG00000017342
Klhl5,KLHL5,Daneman,liver_only,ENSG00000109790,ENSMUSG00000054920,ENSMMUG00000002755
Kpna2,KPNA2,Daneman,lung_only,ENSG00000182481,ENSMUSG00000066878,ENSMMUG00000016685
Kpna2,KPNA2,Daneman,lung_only,ENSG00000182481,ENSMUSG00000018362,ENSMMUG00000016685
Kpnb1,KPNB1,Daneman,lung_only,ENSG00000108424,ENSMUSG00000001440,ENSMMUG00000019760
Krt222,KRT222,Munji,NA,ENSG00000213424,ENSMUSG00000035849,ENSMMUG00000004004
Lactb,LACTB,Munji,NA,ENSG00000103642,ENSMUSG00000032370,ENSMMUG00000003544
Lama2,LAMA2,Daneman,liver_and_lung,ENSG00000196569,ENSMUSG00000019899,ENSMMUG00000022136
Lama4,LAMA4,Daneman,lung_only,ENSG00000112769,ENSMUSG00000019846,ENSMMUG00000013782
Lama5,LAMA5,Daneman,liver_only,ENSG00000130702,ENSMUSG00000015647,NA
Lamc3,LAMC3,Munji,NA,ENSG00000050555,ENSMUSG00000026840,ENSMMUG00000002267
Lancl3,LANCL3,Daneman,liver_only,ENSG00000147036,ENSMUSG00000047344,ENSMMUG00000006967
Laptm4b,LAPTM4B,Daneman,lung_only,ENSG00000104341,ENSMUSG00000022257,ENSMMUG00000008926
Laptm5,LAPTM5,Daneman,lung_only,ENSG00000162511,ENSMUSG00000028581,ENSMMUG00000008744
Lasp1,LASP1,Daneman,liver_only,ENSG00000002834,ENSMUSG00000038366,ENSMMUG00000007799
Lats2,LATS2,Daneman,liver_only,ENSG00000150457,ENSMUSG00000021959,ENSMMUG00000019006
Layn,LAYN,Munji,NA,ENSG00000204381,ENSMUSG00000060594,ENSMMUG00000030915
Lcp1,LCP1,Daneman,lung_only,ENSG00000136167,ENSMUSG00000021998,ENSMMUG00000017033
Ldb2,LDB2,Daneman,lung_only,ENSG00000169744,ENSMUSG00000039706,ENSMMUG00000023116
Ldlrad3,LDLRAD3,Munji,NA,ENSG00000179241,ENSMUSG00000048058,ENSMMUG00000007093
Lef1,LEF1,Munji,NA,ENSG00000138795,ENSMUSG00000027985,ENSMMUG00000023256
Leprotl1,LEPROTL1,Daneman,lung_only,ENSG00000104660,ENSMUSG00000031513,ENSMMUG00000014144
Lgals1,LGALS1,Daneman,liver_and_lung,ENSG00000100097,ENSMUSG00000068220,NA
Lgals3bp,LGALS3BP,Daneman,liver_only,ENSG00000108679,ENSMUSG00000033880,ENSMMUG00000019662
Lgals7,LGALS7,Daneman,liver_and_lung,ENSG00000283082,NA,NA
Lgals7,LGALS7,Daneman,liver_and_lung,ENSG00000205076,ENSMUSG00000053522,ENSMMUG00000063783
Lgals7,LGALS7,Daneman,liver_and_lung,ENSG00000205076,ENSMUSG00000053522,ENSMMUG00000060638
Lgals7,LGALS7B,Daneman,liver_and_lung,ENSG00000282902,NA,NA
Lgals7,LGALS7B,Daneman,liver_and_lung,ENSG00000178934,ENSMUSG00000053522,ENSMMUG00000063783
Lgals7,LGALS7B,Daneman,liver_and_lung,ENSG00000178934,ENSMUSG00000053522,ENSMMUG00000060638
Lgmn,LGMN,Daneman,lung_only,ENSG00000100600,ENSMUSG00000021190,ENSMMUG00000013966
Lgr4,LGR4,Munji,NA,ENSG00000205213,ENSMUSG00000050199,ENSMMUG00000023491
Lhfp,LHFP,Daneman,liver_and_lung,NA,NA,NA
Lifr,LIFR,Daneman,liver_only,ENSG00000113594,ENSMUSG00000054263,ENSMMUG00000007386
Lims2,LIMS2,Daneman,liver_only,ENSG00000072163,ENSMUSG00000024395,ENSMMUG00000004179
Lin7a,LIN7A,Daneman,liver_and_lung,ENSG00000111052,ENSMUSG00000019906,ENSMMUG00000011671
Litaf,LITAF,Daneman,lung_only,ENSG00000189067,ENSMUSG00000022500,ENSMMUG00000008784
Lmbr1,LMBR1,Daneman,lung_only,ENSG00000105983,ENSMUSG00000010721,ENSMMUG00000011750
Lmcd1,LMCD1,Daneman,liver_only,ENSG00000071282,ENSMUSG00000057604,ENSMMUG00000001814
Lmo7,LMO7,Daneman,liver_only,ENSG00000136153,ENSMUSG00000033060,ENSMMUG00000001312
Lnpep,LNPEP,Daneman,liver_only,ENSG00000113441,ENSMUSG00000023845,ENSMMUG00000018542
Lnx2,LNX2,Both,liver_only,ENSG00000139517,ENSMUSG00000016520,ENSMMUG00000058786
6330403K07Rik,LOC728392,Munji,NA,NA,NA,NA
Lphn1,LPHN1,Daneman,lung_only,NA,NA,NA
Lphn3,LPHN3,Daneman,lung_only,NA,NA,NA
